date,country_regopn,region,product,Units Sold,price,revenue,Campaign Active
01-Jan-25,North,Delhi,Jupiter,59,"82,000","48,38,000",No
01-Jan-25,North,Delhi,Raider,54,"1,25,000","67,50,000",No
01-Jan-25,North,Delhi,Apache,39,"1,35,000","52,65,000",No
01-Jan-25,North,Delhi,iQube,25,"1,10,000","27,50,000",No
01-Jan-25,North,Delhi,TVS Brand,16,"95,000","15,20,000",No
01-Jan-25,North,Haryana,Jupiter,59,"82,000","48,38,000",No
01-Jan-25,North,Haryana,Raider,47,"1,25,000","58,75,000",No
01-Jan-25,North,Haryana,Apache,42,"1,35,000","56,70,000",No
01-Jan-25,North,Haryana,iQube,21,"1,10,000","23,10,000",No
01-Jan-25,North,Haryana,TVS Brand,11,"95,000","10,45,000",No
01-Jan-25,North,Punjab,Jupiter,59,"82,000","48,38,000",No
01-Jan-25,North,Punjab,Raider,47,"1,25,000","58,75,000",No
01-Jan-25,North,Punjab,Apache,38,"1,35,000","51,30,000",No
01-Jan-25,North,Punjab,iQube,23,"1,10,000","25,30,000",No
01-Jan-25,North,Punjab,TVS Brand,17,"95,000","16,15,000",No
01-Jan-25,North,Uttar Pradesh,Jupiter,50,"82,000","41,00,000",No
01-Jan-25,North,Uttar Pradesh,Raider,48,"1,25,000","60,00,000",No
01-Jan-25,North,Uttar Pradesh,Apache,35,"1,35,000","47,25,000",No
01-Jan-25,North,Uttar Pradesh,iQube,20,"1,10,000","22,00,000",No
01-Jan-25,North,Uttar Pradesh,TVS Brand,17,"95,000","16,15,000",No
01-Jan-25,North,Uttaranchal,Jupiter,55,"82,000","45,10,000",No
01-Jan-25,North,Uttaranchal,Raider,45,"1,25,000","56,25,000",No
01-Jan-25,North,Uttaranchal,Apache,34,"1,35,000","45,90,000",No
01-Jan-25,North,Uttaranchal,iQube,21,"1,10,000","23,10,000",No
01-Jan-25,North,Uttaranchal,TVS Brand,15,"95,000","14,25,000",No
01-Jan-25,North,Himachal Pradesh,Jupiter,57,"82,000","46,74,000",No
01-Jan-25,North,Himachal Pradesh,Raider,39,"1,25,000","48,75,000",No
01-Jan-25,North,Himachal Pradesh,Apache,38,"1,35,000","51,30,000",No
01-Jan-25,North,Himachal Pradesh,iQube,22,"1,10,000","24,20,000",No
01-Jan-25,North,Himachal Pradesh,TVS Brand,18,"95,000","17,10,000",No
01-Jan-25,North,Jammu & Kashmir,Jupiter,56,"82,000","45,92,000",No
01-Jan-25,North,Jammu & Kashmir,Raider,44,"1,25,000","55,00,000",No
01-Jan-25,North,Jammu & Kashmir,Apache,48,"1,35,000","64,80,000",No
01-Jan-25,North,Jammu & Kashmir,iQube,23,"1,10,000","25,30,000",No
01-Jan-25,North,Jammu & Kashmir,TVS Brand,17,"95,000","16,15,000",No
01-Jan-25,North,Chandigarh,Jupiter,63,"82,000","51,66,000",No
01-Jan-25,North,Chandigarh,Raider,35,"1,25,000","43,75,000",No
01-Jan-25,North,Chandigarh,Apache,37,"1,35,000","49,95,000",No
01-Jan-25,North,Chandigarh,iQube,16,"1,10,000","17,60,000",No
01-Jan-25,North,Chandigarh,TVS Brand,18,"95,000","17,10,000",No
01-Jan-25,North,Rajasthan,Jupiter,72,"82,000","59,04,000",No
01-Jan-25,North,Rajasthan,Raider,41,"1,25,000","51,25,000",No
