date,larger_region,region,product,enquiries,dealer_visits,sales,price,revenue,Campaign Active
01-Jan-25,North,Delhi,Jupiter,372,220,59,"82,000","48,38,000",No
01-Jan-25,North,Delhi,Raider,398,250,54,"1,25,000","67,50,000",No
01-Jan-25,North,Delhi,Apache,299,176,39,"1,35,000","52,65,000",No
01-Jan-25,North,Delhi,iQube,285,149,25,"1,10,000","27,50,000",No
01-Jan-25,North,Delhi,TVS Brand,78,53,16,"95,000","15,20,000",No
01-Jan-25,North,Haryana,Jupiter,294,183,59,"82,000","48,38,000",No
01-Jan-25,North,Haryana,Raider,286,145,47,"1,25,000","58,75,000",No
01-Jan-25,North,Haryana,Apache,241,157,42,"1,35,000","56,70,000",No
01-Jan-25,North,Haryana,iQube,166,103,21,"1,10,000","23,10,000",No
01-Jan-25,North,Haryana,TVS Brand,44,27,11,"95,000","10,45,000",No
01-Jan-25,North,Punjab,Jupiter,332,182,59,"82,000","48,38,000",No
01-Jan-25,North,Punjab,Raider,275,146,47,"1,25,000","58,75,000",No
01-Jan-25,North,Punjab,Apache,236,145,38,"1,35,000","51,30,000",No
01-Jan-25,North,Punjab,iQube,175,111,23,"1,10,000","25,30,000",No
01-Jan-25,North,Punjab,TVS Brand,68,44,17,"95,000","16,15,000",No
01-Jan-25,North,Uttar Pradesh,Jupiter,224,166,50,"82,000","41,00,000",No
01-Jan-25,North,Uttar Pradesh,Raider,261,144,48,"1,25,000","60,00,000",No
01-Jan-25,North,Uttar Pradesh,Apache,227,114,35,"1,35,000","47,25,000",No
01-Jan-25,North,Uttar Pradesh,iQube,160,76,20,"1,10,000","22,00,000",No
01-Jan-25,North,Uttar Pradesh,TVS Brand,60,43,17,"95,000","16,15,000",No
01-Jan-25,North,Uttaranchal,Jupiter,249,148,55,"82,000","45,10,000",No
01-Jan-25,North,Uttaranchal,Raider,220,129,45,"1,25,000","56,25,000",No
01-Jan-25,North,Uttaranchal,Apache,165,104,34,"1,35,000","45,90,000",No
01-Jan-25,North,Uttaranchal,iQube,144,89,21,"1,10,000","23,10,000",No
01-Jan-25,North,Uttaranchal,TVS Brand,55,29,15,"95,000","14,25,000",No
01-Jan-25,North,Himachal Pradesh,Jupiter,236,139,57,"82,000","46,74,000",No
01-Jan-25,North,Himachal Pradesh,Raider,172,113,39,"1,25,000","48,75,000",No
01-Jan-25,North,Himachal Pradesh,Apache,214,123,38,"1,35,000","51,30,000",No
01-Jan-25,North,Himachal Pradesh,iQube,138,81,22,"1,10,000","24,20,000",No
01-Jan-25,North,Himachal Pradesh,TVS Brand,63,41,18,"95,000","17,10,000",No
01-Jan-25,North,Jammu & Kashmir,Jupiter,213,136,56,"82,000","45,92,000",No
01-Jan-25,North,Jammu & Kashmir,Raider,183,109,44,"1,25,000","55,00,000",No
01-Jan-25,North,Jammu & Kashmir,Apache,260,157,48,"1,35,000","64,80,000",No
01-Jan-25,North,Jammu & Kashmir,iQube,150,90,23,"1,10,000","25,30,000",No
01-Jan-25,North,Jammu & Kashmir,TVS Brand,58,34,17,"95,000","16,15,000",No
01-Jan-25,North,Chandigarh,Jupiter,344,230,63,"82,000","51,66,000",No
01-Jan-25,North,Chandigarh,Raider,214,142,35,"1,25,000","43,75,000",No
01-Jan-25,North,Chandigarh,Apache,200,156,37,"1,35,000","49,95,000",No
01-Jan-25,North,Chandigarh,iQube,142,77,16,"1,10,000","17,60,000",No
01-Jan-25,North,Chandigarh,TVS Brand,81,43,18,"95,000","17,10,000",No
